"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1127","TC-06 | Back to Inventory Page","Cart Test","2026-07-26","passed","2026-07-26","","","",""
"","674","TC-02 | Get List Users","Users API","2026-07-26","passed","2026-07-26","","","",""
"","256","TC-04 | Login with password empty","Login Test","2026-07-26","skipped","2026-07-26","","","",""
"","1187","TC-03 | Item should not appear in cart before add","Product Test","2026-07-26","skipped","2026-07-26","","","",""
"","389","TC-04 | Update User","Users API","2026-07-26","passed","2026-07-26","","","",""
"","716","TC-02 | Get User ID Not Found","Users API","2026-07-26","skipped","2026-07-26","","","",""
"","1414","TC-01 | Add one items to cart","Cart Test","2026-07-26","passed","2026-07-26","","","",""
"","1716","TC-01 | Add item to cart","Product Test","2026-07-26","passed","2026-07-26","","","",""
"","1184","TC-02 | Remove item from cart","Product Test","2026-07-26","skipped","2026-07-26","","","",""
"","1184","TC-04 | Sorting items","Product Test","2026-07-26","skipped","2026-07-26","","","",""
"","1545","TC-07 | Checkout items","Cart Test","2026-07-26","passed","2026-07-26","","","",""
"","1122","TC-05 | Show Detail product","Product Test","2026-07-26","passed","2026-07-26","","","",""
"","256","TC-05 | Login with invalid username","Login Test","2026-07-26","skipped","2026-07-26","","","",""
"","255","TC-03 | Login with username empty","Login Test","2026-07-26","skipped","2026-07-26","","","",""
"","1399","TC-03 | Remove one items from cart","Cart Test","2026-07-26","passed","2026-07-26","","","",""
"","257","TC-02 | Login with username and password empty","Login Test","2026-07-26","skipped","2026-07-26","","","",""
"","388","TC-05 | Delete User","Users API","2026-07-26","passed","2026-07-26","","","",""
"","256","TC-06 | Login with invalid password","Login Test","2026-07-26","skipped","2026-07-26","","","",""
"","1549","TC-01 | Login successfully with valid credentials","Login Test","2026-07-26","passed","2026-07-26","","","",""
"","1439","TC-02 | Add multiple items to cart","Cart Test","2026-07-26","skipped","2026-07-26","","","",""
"","1273","TC-04 | Remove multiple items from cart","Cart Test","2026-07-26","skipped","2026-07-26","","","",""
"","765","TC-03 | Create User","Users API","2026-07-26","passed","2026-07-26","","","",""
"","1074","TC-01 | Get User By ID","Users API","2026-07-26","passed","2026-07-26","","","",""
"","1238","TC-05 | Show product details in Cart","Cart Test","2026-07-26","passed","2026-07-26","","","",""
